SP_DID_089_clipped_2-0001|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|0|768
SP_DID_089_clipped_2-0002|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|1792|9472
SP_DID_089_clipped_2-0003|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|10240|51200
SP_DID_089_clipped_2-0004|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|51456|51712
SP_DID_089_clipped_2-0005|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|55296|75776
SP_DID_089_clipped_2-0006|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|84224|84480
SP_DID_089_clipped_2-0007|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|84736|85248
SP_DID_089_clipped_2-0008|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|87552|275200
SP_DID_089_clipped_2-0009|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|277504|283904
SP_DID_089_clipped_2-0010|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|284160|284416
SP_DID_089_clipped_2-0011|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|284672|357888
SP_DID_089_clipped_2-0012|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|358144|369408
SP_DID_089_clipped_2-0013|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|369920|371712
SP_DID_089_clipped_2-0014|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|371968|374016
SP_DID_089_clipped_2-0015|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|374272|374528
SP_DID_089_clipped_2-0016|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|374784|375040
SP_DID_089_clipped_2-0017|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|375296|378624
SP_DID_089_clipped_2-0018|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|384256|459776
SP_DID_089_clipped_2-0019|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|460800|462080
SP_DID_089_clipped_2-0020|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|462336|468224
SP_DID_089_clipped_2-0021|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|468992|470784
SP_DID_089_clipped_2-0022|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|471040|472576
SP_DID_089_clipped_2-0023|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|477696|478720
SP_DID_089_clipped_2-0024|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|485632|485888
SP_DID_089_clipped_2-0025|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|487680|573696
SP_DID_089_clipped_2-0026|././SP_DID_089_segmentado/SP_DID_089_2/SP_DID_089_clipped_2.wav|574208|608768
